
2024/05/29 (17:43:20) | ===> btop++ v.1.3.2
2024/05/29 (17:43:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/29 (17:43:20) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/05/29 (17:43:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/29 (17:43:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/29 (17:43:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/29 (17:43:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/29 (17:43:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/29 (18:38:20) | ===> btop++ v.1.3.2
2024/05/29 (18:38:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/29 (18:38:20) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/05/29 (18:38:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/29 (18:38:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/29 (18:38:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/29 (18:38:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/29 (18:38:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/31 (21:40:19) | ===> btop++ v.1.3.2
2024/05/31 (21:40:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/31 (21:40:19) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/05/31 (21:40:19) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/31 (21:40:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/31 (21:40:19) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/31 (21:40:19) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/31 (21:40:19) | WARNING: ROCm SMI: Failed to get PCIe throughput
